step,loss,step_size,delta_linf01,delta_l2
0,73.01295471191406,0.00392156862745098,0.0019608139991760254,3.475839614868164
1,130.33428955078125,0.00392156862745098,0.003921598196029663,4.984867572784424
2,192.70375061035156,0.00392156862745098,0.005882382392883301,6.105951309204102
3,143.6655731201172,0.00392156862745098,0.007843166589736938,7.034027099609375
4,295.5670166015625,0.00392156862745098,0.009803950786590576,7.842009544372559
5,407.0061950683594,0.00392156862745098,0.011764734983444214,8.700947761535645
6,407.52557373046875,0.00392156862745098,0.013725519180297852,9.361119270324707
7,510.2759094238281,0.00392156862745098,0.01568630337715149,10.11845874786377
8,558.6729125976562,0.00392156862745098,0.017647087574005127,10.718888282775879
9,587.1817016601562,0.00392156862745098,0.019607871770858765,11.341666221618652
10,488.96343994140625,0.00392156862745098,0.021568655967712402,11.956080436706543
11,624.0974731445312,0.00392156862745098,0.02352944016456604,12.57844066619873
12,654.9260864257812,0.00392156862745098,0.025000035762786865,13.051878929138184
13,687.767822265625,0.00392156862745098,0.025000035762786865,13.68193531036377
14,697.5721435546875,0.00392156862745098,0.025000035762786865,14.115813255310059
15,718.6251220703125,0.00392156862745098,0.025000035762786865,14.583239555358887
16,732.2093505859375,0.00392156862745098,0.025000035762786865,15.033918380737305
17,683.2553100585938,0.00392156862745098,0.025000035762786865,15.414931297302246
18,670.6490478515625,0.00392156862745098,0.025000035762786865,15.757922172546387
19,746.774169921875,0.00392156862745098,0.025000035762786865,16.09820556640625
