image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,advdrop,instruct-pix2pix,turn the color of potted plant to pink,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.10207,0.99116,41.332,0.84131,0.02141,0.12263,0.9611,28.661,0.64812,0.04059,0.10185,0.00858,0.97808,0.98462,False,0.837,78.6
task_attr_mod_color_136767,advdrop,instruct-pix2pix,turn the color of astronaut to pink,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.04484,0.99014,40.826,0.83444,0.00601,0.06676,0.95887,31.283,0.62786,0.01951,0.08765,0.00909,0.99756,0.9927,False,0.837,63.5
task_attr_mod_color_184837,advdrop,instruct-pix2pix,turn the color of frame to pink,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.03309,0.99361,39.004,0.84087,0.00616,0.05364,0.96135,29.444,0.5967,0.03025,0.10519,0.01121,0.9969,0.99173,False,0.837,63.6
task_attr_mod_color_32648,advdrop,instruct-pix2pix,turn the color of potion bottle to orange,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.11627,0.98878,44.981,0.7661,0.01927,0.10943,0.95272,33.162,0.70981,0.03792,0.06955,0.00563,0.99386,0.98945,False,0.837,63.5
task_attr_mod_color_6205,advdrop,instruct-pix2pix,turn the color of toolbox to red,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.06431,0.99172,42.138,0.8473,0.00834,0.06525,0.97456,34.671,0.7432,0.01731,0.07211,0.00782,0.99609,0.9917,False,0.837,63.6
task_env_weather_112463,advdrop,instruct-pix2pix,transform the setting to spring with blooming flowers,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.08256,0.98945,42.6,0.87634,0.01289,0.18629,0.86465,23.841,0.51926,0.08596,0.07333,0.00741,0.96621,0.96821,False,0.837,63.6
task_env_weather_246440,advdrop,instruct-pix2pix,transform the setting to autumn with falling leaves,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.01568,0.99466,39.478,0.86456,0.00178,0.1008,0.91738,25.973,0.46997,0.05722,0.09405,0.01062,0.99297,0.99135,False,0.837,63.6
task_env_weather_63722,advdrop,instruct-pix2pix,change the setting to a snowy landscape,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.10977,0.98724,39.33,0.80004,0.02219,0.13752,0.9488,29.142,0.53423,0.03829,0.09431,0.0108,0.98142,0.97863,False,0.837,63.6
task_obj_add_40931,advdrop,instruct-pix2pix,Add the blood on snout,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.07987,0.99179,38.857,0.82311,0.01063,0.10424,0.93242,27.545,0.53445,0.0373,0.08193,0.01141,0.98778,0.98769,False,0.837,63.6
task_obj_remove_380621,advdrop,instruct-pix2pix,Remove iceberg,,150.0,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,50,encoder_target,0.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,True,0.0989,0.98735,39.393,0.80571,0.01261,0.1398,0.90627,26.168,0.47115,0.04688,0.08509,0.01072,0.99681,0.9852,False,0.837,63.8
