image,site,rank,prompt,steps,steps_done,stop_reason,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips
car_00,P,16,a wrecked car after an accident,60,60,,10,10,1,147.9,rotate,0,0.0,,,10312.8,2.73,389.3333333333333,20.0,12.333333333333334,16.0,16.0,0.016623180359601974,0.6486768126487732,0.6084839105606079,0.04019288718700409,0.3915161192417145,35.84728240966797,0.18283866345882416,35.84728240966797,0.18283866345882416,0.9804074168205261,0.04019288718700409
car_01,P,16,a wrecked car after an accident,60,60,,10,10,1,147.7,rotate,0,0.0,,,10318.8,4.74,261.3333333333333,16.0,12.666666666666666,16.0,16.0,0.003101348876953125,0.5881655812263489,0.5483576655387878,0.039807915687561035,0.45164233446121216,36.72918701171875,0.10559380054473877,36.72918701171875,0.10559380054473877,0.9866210222244263,0.039807915687561035
