image,site,arm,eval_seed,edit_psnr,edit_linf,edit_ssim,edit_vif_p,edit_fsim,edit_lpips,edit_dists,edit_acutance_ratio,edit_rms,edit_frac_gt_16_255,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b
horse_00,PF,opt,20270804,18.21710205078125,0.859764575958252,0.33598506450653076,0.09045163542032242,0.6767658591270447,0.5334130525588989,0.2681257128715515,2.02707576751709,0.12278484553098679,0.5386403799057007,3.8179862920023786,4.788495914120217,0.22881174087524414,0.11351151764392853,0.22845788300037384,0.06674205511808395
horse_00,PF,opt,20270805,17.012170791625977,0.8848501443862915,0.34652993083000183,0.09371379017829895,0.6886165738105774,0.5138187408447266,0.24456584453582764,1.4173011779785156,0.14105594158172607,0.5917409658432007,4.3626541022760605,4.783334533180613,0.24592804908752441,0.10959085077047348,0.21321474015712738,0.004944187588989735
horse_00,PF,opt,20270806,17.407201766967773,0.9080384969711304,0.2488185465335846,0.062367670238018036,0.5977091193199158,0.5813850164413452,0.29948049783706665,2.9221842288970947,0.13478446006774902,0.5753072500228882,4.598897192209004,4.046148123383796,0.246252179145813,0.11989469081163406,0.22216179966926575,0.06836546957492828
horse_00,PF,opt,20270807,18.372203826904297,0.7675204277038574,0.3368717133998871,0.08793719857931137,0.6859512329101562,0.5095119476318359,0.2282772660255432,1.864628791809082,0.1206117570400238,0.5250193476676941,4.435945863330855,4.6195117295395445,0.22876426577568054,0.08949371427297592,0.21190468966960907,0.031627070158720016
horse_00,PF,opt,20270808,18.255359649658203,0.8143130540847778,0.32463687658309937,0.08756734430789948,0.6658686995506287,0.5114018321037292,0.24340415000915527,2.498375415802002,0.12224523723125458,0.5460307002067566,3.499603443202031,4.6549829376054355,0.23487308621406555,0.059933312237262726,0.2346109300851822,0.037025220692157745
horse_00,PF,rand,20270804,18.43967628479004,0.8009172677993774,0.3013807535171509,0.09178193658590317,0.6904249787330627,0.5416499376296997,0.25882065296173096,1.9351788759231567,0.11967848241329193,0.5266062617301941,3.8179862920023786,5.081010813477182,0.22881174087524414,0.11351151764392853,0.255888432264328,0.07341955602169037
horse_00,PF,rand,20270805,16.824176788330078,0.9625171422958374,0.3194468915462494,0.10019566118717194,0.6878672242164612,0.5236060619354248,0.2539265751838684,1.5561357736587524,0.14414216578006744,0.5970815420150757,4.3626541022760605,4.846215460695441,0.24592804908752441,0.10959085077047348,0.2108406126499176,0.03324562683701515
horse_00,PF,rand,20270806,17.183940887451172,1.0,0.23103058338165283,0.06632962822914124,0.6285820007324219,0.5846915245056152,0.2771450877189636,2.9923272132873535,0.13829383254051208,0.5772654414176941,4.598897192209004,7.695154995226357,0.246252179145813,0.11989469081163406,0.23503898084163666,0.06278166174888611
horse_00,PF,rand,20270807,17.843429565429688,0.8444629311561584,0.27754130959510803,0.08895424753427505,0.7098667621612549,0.564887285232544,0.28151869773864746,1.6596474647521973,0.12818238139152527,0.5500539541244507,4.435945863330855,8.971049211183457,0.22876426577568054,0.08949371427297592,0.2418888658285141,0.055174216628074646
horse_00,PF,rand,20270808,18.571949005126953,0.9164910316467285,0.3260398507118225,0.10460970550775528,0.6976000666618347,0.5174898505210876,0.3012215495109558,1.7538622617721558,0.11786976456642151,0.5335337519645691,3.499603443202031,7.683328409317463,0.23487308621406555,0.059933312237262726,0.2575579881668091,0.05845705419778824
