image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_03,phase,0,a butterfly,32,0.25,0.5,data/targets/gray.png,human,human,0.03745,False,3.14,42.1,0.2253,0.9688,0.0375,34.0903,0.9962,5.3565,0.7151,0.5793,0.2725,0.3155,-0.043,0.1038,0.1089,-0.005,0.01725,0.4617
cat_00,phase,0,a dog,32,0.25,0.5,data/targets/gray.png,human,human,0.08109,False,3.14,25.3,0.3861,0.8195,0.0811,20.2665,0.9888,5.0652,0.7274,0.6246,0.2452,0.2533,-0.0081,0.0621,0.0757,-0.0136,0.09277,0.5538
horse_01,phase,0,a zebra,32,0.25,0.5,data/targets/gray.png,human,human,0.09586,False,3.14,25.5,0.4689,0.8437,0.0959,22.4161,0.9876,4.9025,0.7059,0.6935,0.323,0.3242,-0.0012,0.1175,0.1136,0.0039,0.06874,0.6331
man_00,phase,0,an old woman,32,0.25,0.5,data/targets/gray.png,human,human,0.02756,False,3.14,25.7,0.1629,0.989,0.0276,38.6571,0.9985,4.3115,0.6439,0.43,0.2819,0.3103,-0.0284,0.1079,0.1261,-0.0182,0.00861,0.279
woman_01,phase,0,a man,32,0.25,0.5,data/targets/gray.png,human,human,0.01697,False,3.14,25.7,0.1476,0.9918,0.017,42.0864,0.9991,3.5167,0.3258,0.3912,0.208,0.2144,-0.0064,0.0388,0.0229,0.0159,0.00471,0.3817
