image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,delta_within_1,delta_nonzero,zero_coef_frac,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,dct_unified,instruct-pix2pix,turn the color of potted plant to pink,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.86073,0.29873,0.83581,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54804,0.82993,15.505,0.14114,0.16911,0.55093,0.52886,11.283,0.12215,0.28689,1.0,0.16779,0.76982,0.74194,True,0.837,388.3
task_attr_mod_color_136767,dct_unified,instruct-pix2pix,turn the color of astronaut to pink,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.83328,0.33483,0.83135,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55625,0.7428,14.848,0.1251,0.28424,0.63654,0.26623,7.397,0.02894,0.41278,1.0,0.18096,0.78899,0.79971,True,0.837,379.3
task_attr_mod_color_184837,dct_unified,instruct-pix2pix,turn the color of frame to pink,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.72885,0.49574,0.73483,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.65378,0.71746,12.34,0.11459,0.25477,0.78303,0.13877,6.37,0.0344,0.6703,1.0,0.24156,0.69606,0.63396,True,0.837,378.4
task_attr_mod_color_32648,dct_unified,instruct-pix2pix,turn the color of potion bottle to orange,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.96068,0.13772,0.94156,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48993,0.87351,21.934,0.07898,0.20916,0.43084,0.63263,17.92,0.19075,0.24214,1.0,0.08003,0.86746,0.91415,False,0.837,378.3
task_attr_mod_color_6205,dct_unified,instruct-pix2pix,turn the color of toolbox to red,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.88095,0.28791,0.872,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55732,0.7617,16.864,0.16036,0.21824,0.70034,0.24659,7.614,0.29846,0.48175,1.0,0.14348,0.69325,0.65457,True,0.837,378.7
task_env_weather_112463,dct_unified,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.80284,0.43687,0.85591,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.74867,0.70128,15.061,0.12338,0.18936,0.80478,0.28512,11.245,0.07578,0.35352,1.0,0.17659,0.52969,0.56684,True,0.837,379.0
task_obj_remove_380621,dct_unified,instruct-pix2pix,Remove iceberg,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.82696,0.38438,0.80157,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.66694,0.73702,15.523,0.1284,0.22475,0.75033,0.23805,7.63,0.04397,0.40879,1.0,0.16744,0.73175,0.70486,True,0.837,379.0
task_obj_swap_joint_mask_276754,dct_unified,instruct-pix2pix,Replace the satellite dish with rocket,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.70603,0.48824,0.69052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52943,0.56761,13.927,0.05422,0.28343,0.6564,0.51866,12.881,0.01309,0.39771,1.0,0.20121,0.84053,0.8624,False,0.837,378.8
task_obj_swap_joint_mask_533428,dct_unified,instruct-pix2pix,Replace the samurai armor with red jacket,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.71362,0.54632,0.74767,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.68173,0.5932,12.548,0.08809,0.29345,0.63753,0.23707,9.164,0.05959,0.29436,1.0,0.23584,0.62579,0.5997,True,0.837,379.2
task_obj_swap_rand_mask_417469,dct_unified,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.4,False,0.0,0.12,inf,0,32,16,0.5,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,plane,0.85,transpose,texture,priced,1000,latent_norm,0.0,none,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.79981,0.43384,0.80663,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.66179,0.61047,14.839,0.09548,0.24853,0.74825,0.2021,8.796,0.04642,0.44021,1.0,0.18115,0.37464,0.47877,True,0.837,380.7
