image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,coarsen,warp_grid,update,step_size,saturate_at,warp_init_std,disp_field_grid,dct_mode,dct_qd,dct_pairing,dct_gate,dct_plane_weight,manifold_weight,manifold_t,manifold_only,manifold_balance,defense_steps,loss,ig_zt,ig_t_min,ig_t_max,ig_samples,gain_ratio,purify_aware,eot_qualities,deliver_jpeg,stage2_steps,stage2_ops,stage2_order,stage2_step_scale,stage2_trust,stage2_check_every,stage2_ramp,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,warp_rand,instruct-pix2pix,turn the color of potted plant to pink,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23376,0.58146,16.3,0.09887,0.10111,0.25138,0.55886,15.606,0.09056,0.09895,0.96469,0.1531,0.96451,0.97716,False,0.837,58.0
task_attr_mod_color_136767,warp_rand,instruct-pix2pix,turn the color of astronaut to pink,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.23001,0.60075,16.579,0.10476,0.09531,0.24883,0.57103,16.437,0.09844,0.10962,0.99191,0.14827,0.98859,0.98739,False,0.837,48.1
task_attr_mod_color_184837,warp_rand,instruct-pix2pix,turn the color of frame to pink,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29791,0.37501,14.399,0.06446,0.14432,0.3118,0.35264,14.271,0.06175,0.1816,0.94257,0.19056,0.96108,0.96177,False,0.837,48.4
task_attr_mod_color_32648,warp_rand,instruct-pix2pix,turn the color of potion bottle to orange,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.19578,0.89578,25.932,0.19419,0.12993,0.18667,0.90768,27.18,0.3258,0.11695,0.98781,0.05051,0.97979,0.96119,False,0.837,48.6
task_attr_mod_color_6205,warp_rand,instruct-pix2pix,turn the color of toolbox to red,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.25207,0.63798,19.052,0.13283,0.13091,0.3506,0.55753,14.554,0.14065,0.1864,0.9508,0.11153,0.9612,0.9374,False,0.837,48.6
task_env_weather_112463,warp_rand,instruct-pix2pix,transform the setting to spring with blooming flowers,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.29263,0.5739,19.315,0.1346,0.11987,0.33234,0.46171,17.005,0.1007,0.12804,0.98067,0.10821,0.91202,0.93876,False,0.837,48.6
task_obj_remove_380621,warp_rand,instruct-pix2pix,Remove iceberg,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.30998,0.54757,18.337,0.14534,0.18201,0.34453,0.51322,17.431,0.1242,0.1582,0.99822,0.1211,0.9379,0.93104,False,0.837,48.6
task_obj_swap_joint_mask_276754,warp_rand,instruct-pix2pix,Replace the satellite dish with rocket,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.35796,0.38083,18.525,0.03843,0.16571,0.07857,0.92949,24.693,0.27494,0.09413,0.97136,0.1185,0.96912,0.95459,False,0.837,49.0
task_obj_swap_joint_mask_533428,warp_rand,instruct-pix2pix,Replace the samurai armor with red jacket,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31052,0.43106,15.341,0.07591,0.13936,0.39138,0.51411,15.349,0.11338,0.16086,0.9952,0.17098,0.78586,0.81551,True,0.837,48.8
task_obj_swap_rand_mask_417469,warp_rand,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,5.65,False,0.0,0.12,inf,0,32,8,0.0,1.0,binary,1.0,shared,rgb,0.0,uniform,0.0,1,16,sign,,0.25,0.0,16,plane,0.85,transpose,texture,uniform,0.0,100,0,raw,1,encoder_target,,1,1000,1,0.0,none,95 75 50,0.0,0,identity blur1 blur2 crop05 crop10 crop15,shuffle,0.2,0.95,20,0,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.27378,0.55913,17.667,0.10415,0.09975,0.29126,0.52477,17.344,0.09963,0.11251,0.98274,0.13081,0.9607,0.95124,False,0.837,48.9
