image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,theta_budget,warp_grid,defense_steps,loss,gain_ratio,purify_aware,deliver_jpeg,deliver_retention,deliver_cosine,deliver_retention_base,deliver_rms_raw,deliver_rms_out,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.95815,0.9242,0.94433,0.071394,0.074016,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55875,0.86294,22.613,0.21086,0.17575,0.52337,0.60688,16.374,0.16276,0.29207,0.81853,0.07402,0.85166,0.80627,True,0.837,414.9
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.95319,0.93317,0.94951,0.072345,0.073897,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54351,0.80802,22.628,0.204,0.22112,0.61017,0.37062,9.621,0.15335,0.37836,0.82021,0.0739,0.83643,0.803,True,0.837,404.0
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.98047,0.96425,0.98021,0.100795,0.102491,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55367,0.83025,19.786,0.21342,0.25104,0.71802,0.1947,7.83,0.16177,0.41891,0.71578,0.10249,0.79467,0.79668,True,0.837,403.8
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.83088,0.83077,0.83367,0.04541,0.045416,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.62443,0.84568,26.856,0.09235,0.19887,0.52108,0.56702,14.569,0.14178,0.29629,0.75596,0.04542,0.91209,0.90813,False,0.837,403.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.90138,0.87293,0.8883,0.057388,0.059258,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56888,0.86335,24.545,0.21946,0.19256,0.66075,0.34666,9.033,0.27633,0.40549,0.74156,0.05926,0.85794,0.78552,True,0.837,402.8
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.90658,0.86562,0.90421,0.054555,0.057136,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.6198,0.87523,24.862,0.22849,0.12933,0.7753,0.41012,11.342,0.14996,0.33269,0.70856,0.05714,0.54791,0.58173,True,0.837,403.6
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.93663,0.92663,0.93266,0.071514,0.072285,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5858,0.87315,22.819,0.23744,0.18015,0.70241,0.27904,8.164,0.07494,0.36443,0.9449,0.07229,0.73746,0.71186,True,0.837,405.3
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.95617,0.95608,0.94945,0.089233,0.089242,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50862,0.73967,20.989,0.16657,0.22205,0.67347,0.48034,12.169,0.01202,0.42298,0.86029,0.08924,0.82906,0.86674,False,0.837,404.5
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.97184,0.95045,0.97067,0.087842,0.089819,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.5496,0.82301,20.933,0.20625,0.19395,0.64166,0.24623,9.373,0.05824,0.28061,0.73168,0.08982,0.61896,0.60731,True,0.837,406.3
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,2.0,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,uniform,0.0,16,1000,latent_norm,1.0,none,0.85,0.95429,0.93097,0.94982,0.076145,0.078052,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56866,0.80022,22.152,0.18801,0.18211,0.73492,0.27638,8.915,0.07933,0.53048,0.91516,0.07805,0.37108,0.42347,True,0.837,406.0
