image,instruction,clip_orig,clip_edit,clip_gain,siglip_orig,siglip_edit,siglip_gain,pixel_lpips,edit_steps,s_t,s_i,edit_seed,seconds
task_attr_mod_color_123744,turn the color of cushion to be black,0.20786,0.2032,-0.00466,0.04883,0.05862,0.00979,0.23318,100,7.5,1.5,20260812,31.1
task_attr_mod_color_126580,turn the color of a stone fountain to red,0.26581,0.27688,0.01107,0.07112,0.09483,0.02371,0.24003,100,7.5,1.5,20260812,21.0
task_attr_mod_color_158070,turn the color of playing card to red,0.27622,0.29027,0.01405,0.058,0.08011,0.02212,0.38969,100,7.5,1.5,20260812,21.0
task_attr_mod_color_164237,turn the color of crystal tower to brown,0.27171,0.25872,-0.01299,0.09923,0.10638,0.00714,0.36173,100,7.5,1.5,20260812,21.1
task_attr_mod_color_174506,turn the color of mushroom to gray,0.29331,0.31159,0.01828,0.05078,0.06675,0.01597,0.38316,100,7.5,1.5,20260812,21.2
task_attr_mod_color_175843,turn the color of cap to be pink,0.22612,0.26285,0.03673,0.02322,0.0867,0.06348,0.26796,100,7.5,1.5,20260812,21.2
task_attr_mod_color_202962,turn the color of a water bottle to brown,0.29699,0.26906,-0.02793,0.08873,0.10669,0.01796,0.25907,100,7.5,1.5,20260812,21.2
task_attr_mod_color_229454,turn the color of cat to orange,0.28071,0.29645,0.01573,0.07605,0.08726,0.01122,0.25356,100,7.5,1.5,20260812,21.3
task_attr_mod_color_30214,turn the color of glass of whiskey to green,0.26686,0.28937,0.02252,0.05918,0.09192,0.03273,0.34423,100,7.5,1.5,20260812,21.3
task_attr_mod_color_47418,turn the color of mushroom to gray,0.30362,0.30904,0.00542,0.08425,0.09826,0.01401,0.4417,100,7.5,1.5,20260812,21.2
task_attr_mod_color_6065,turn the color of lantern to red,0.27817,0.30437,0.02619,0.03971,0.08331,0.0436,0.315,100,7.5,1.5,20260812,21.2
task_env_weather_114555,change the setting to a misty scene,0.20291,0.22059,0.01769,0.00938,0.01487,0.00549,0.26202,100,7.5,1.5,20260812,21.3
task_env_weather_116980,transform the setting to a foggy atmosphere,0.26881,0.29614,0.02733,0.08367,0.11792,0.03424,0.37865,100,7.5,1.5,20260812,21.3
task_env_weather_126577,change the setting to spring with blossoms,0.19959,0.25609,0.0565,0.01077,0.07764,0.06686,0.44641,100,7.5,1.5,20260812,21.2
task_env_weather_132698,transform the setting to a winter scene,0.16763,0.17996,0.01233,0.00139,0.00896,0.00757,0.28493,100,7.5,1.5,20260812,21.3
task_env_weather_146611,change the setting to spring with blooming trees,0.18461,0.20961,0.025,0.00397,0.02504,0.02107,0.26623,100,7.5,1.5,20260812,21.2
task_env_weather_195273,transform the setting to fall with colorful leaves,0.19015,0.25496,0.06481,-0.02351,0.04313,0.06664,0.32004,100,7.5,1.5,20260812,21.2
task_env_weather_217577,change the setting to a foggy scene,0.19233,0.22716,0.03483,0.03081,0.03499,0.00418,0.41874,100,7.5,1.5,20260812,21.2
task_env_weather_226185,change the setting to spring with blooming flowers,0.15924,0.19849,0.03925,-0.04847,-0.0136,0.03487,0.27136,100,7.5,1.5,20260812,21.2
task_env_weather_231482,change the setting to a snowy scene,0.17499,0.19484,0.01985,-0.01134,0.00185,0.01319,0.28177,100,7.5,1.5,20260812,21.3
task_env_weather_262001,change the setting to a snowy scene,0.17278,0.18385,0.01107,-0.0276,-0.01363,0.01397,0.29473,100,7.5,1.5,20260812,21.2
