image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,floor_gate,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44607,0.95812,27.18,0.36169,0.08314,0.45912,0.64325,17.053,0.25152,0.2692,0.50529,0.04375,0.85448,0.85499,False,0.837,410.3
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4329,0.95028,27.378,0.36316,0.13302,0.56516,0.40368,9.49,0.15973,0.32309,0.48473,0.04277,0.79848,0.80717,True,0.837,397.2
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4292,0.92847,23.838,0.37557,0.15175,0.5475,0.47817,16.086,0.24343,0.31933,0.39311,0.06428,0.95126,0.90701,False,0.837,397.0
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54157,0.96472,31.274,0.17811,0.10455,0.54744,0.44178,11.278,0.09411,0.37448,0.62736,0.02731,0.80536,0.70888,True,0.837,397.0
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.47819,0.95904,29.681,0.38708,0.12245,0.6376,0.24801,7.193,0.58707,0.45917,0.45307,0.03281,0.83338,0.81051,True,0.837,397.2
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.54357,0.95594,30.038,0.40808,0.06362,0.83504,0.34543,10.197,0.14958,0.35849,0.33083,0.03149,0.55353,0.58261,True,0.837,397.3
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.37403,0.92975,23.1,0.3737,0.08973,0.53351,0.36221,15.31,0.12884,0.30539,0.59069,0.06998,0.92199,0.84345,False,0.837,397.4
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44879,0.95301,26.54,0.37847,0.08403,0.49392,0.60391,15.979,0.21467,0.2925,0.46648,0.0471,0.87661,0.82042,True,0.837,397.3
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46544,0.9459,27.025,0.43165,0.11662,0.52823,0.40675,15.823,0.23944,0.35757,0.3645,0.04454,0.84348,0.71623,True,0.837,397.1
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48553,0.96533,28.456,0.43526,0.10012,0.69963,0.28619,8.255,0.08101,0.37366,0.56029,0.03777,0.73672,0.70778,True,0.837,397.3
task_obj_swap_joint_mask_276754,phase_gain,instruct-pix2pix,Replace the satellite dish with rocket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41334,0.93666,26.752,0.33988,0.10258,0.68562,0.4601,12.859,0.01161,0.43384,0.51937,0.04596,0.80798,0.85032,False,0.837,397.1
task_obj_swap_joint_mask_533428,phase_gain,instruct-pix2pix,Replace the samurai armor with red jacket,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.44158,0.94158,26.265,0.39139,0.09389,0.57232,0.36152,11.914,0.11079,0.27199,0.43327,0.04861,0.68602,0.58597,True,0.837,396.9
task_obj_swap_rand_mask_417469,phase_gain,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.9,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,watson,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.46801,0.94307,26.912,0.36561,0.08007,0.76429,0.27599,9.53,0.06968,0.49615,0.54154,0.04512,0.3842,0.49513,True,0.837,395.7
