image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,freq_weight_power,gain_weight,phase_channels,spectral_floor,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50217,0.95081,25.741,0.30484,0.10298,0.52774,0.5821,12.136,0.17897,0.27012,0.58962,0.05163,0.7996,0.79001,True,0.837,410.0
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.4714,0.93363,26.843,0.3321,0.14012,0.63343,0.28224,7.498,0.03312,0.37927,0.5318,0.04548,0.74781,0.83996,False,0.837,400.1
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.49052,0.91464,22.569,0.30892,0.18206,0.75173,0.15642,6.804,0.13454,0.58522,0.48235,0.0744,0.69577,0.69487,True,0.837,400.3
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.55814,0.94747,31.874,0.17434,0.12428,0.62224,0.39727,10.77,0.07511,0.38558,0.56188,0.02548,0.75513,0.74547,True,0.837,400.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52318,0.95008,28.098,0.32709,0.13391,0.71985,0.20756,6.719,0.51633,0.57255,0.58162,0.03936,0.56398,0.60345,True,0.837,400.9
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.56604,0.95325,28.575,0.35439,0.06762,0.8451,0.31233,10.08,0.15687,0.36804,0.39071,0.03726,0.54691,0.56365,True,0.837,400.9
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.43619,0.9078,21.56,0.30615,0.11397,0.61277,0.25754,13.786,0.12822,0.35612,0.76078,0.08356,0.88518,0.84645,False,0.837,400.9
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50017,0.94492,25.206,0.31204,0.09512,0.65705,0.38842,12.935,0.05168,0.45093,0.51765,0.05491,0.60955,0.62183,True,0.837,400.7
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.50539,0.92874,25.549,0.36335,0.1343,0.57704,0.35391,15.213,0.22121,0.41225,0.4378,0.05279,0.88461,0.67763,True,0.837,400.9
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,1.5,False,0.0,0.12,inf,0,32,8,0.0,1.0,jpeg_luma,0.25,shared,rgb,0.04,1000,latent_norm,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.52395,0.95307,26.793,0.37123,0.11198,0.72232,0.25632,8.106,0.05592,0.38661,0.66622,0.04575,0.73902,0.71878,True,0.837,400.6
