image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_11699,phase,instruct-pix2pix,turn the color of potted plant to pink,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07674,0.97841,31.167,0.61191,0.04185,0.11012,0.92661,24.357,0.46157,0.05374,0.34819,0.02765,38.9
task_attr_mod_color_136767,phase,instruct-pix2pix,turn the color of astronaut to pink,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13489,0.95398,30.208,0.53677,0.06238,0.16733,0.87505,24.074,0.38427,0.10297,0.29067,0.03087,39.4
task_attr_mod_color_184837,phase,instruct-pix2pix,turn the color of frame to pink,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11531,0.95275,26.027,0.50151,0.04895,0.20076,0.76922,18.882,0.33688,0.15091,0.44969,0.04997,39.6
task_attr_mod_color_32648,phase,instruct-pix2pix,turn the color of potion bottle to orange,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.12584,0.99024,42.156,0.70991,0.0516,0.12147,0.94163,28.052,0.66177,0.0864,0.14382,0.0078,39.6
task_attr_mod_color_6205,phase,instruct-pix2pix,turn the color of toolbox to red,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07977,0.97012,32.603,0.65194,0.07536,0.11004,0.90974,25.587,0.54016,0.08681,0.30354,0.02343,39.7
task_env_weather_112463,phase,instruct-pix2pix,transform the setting to spring with blooming flowers,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.15001,0.95129,31.534,0.55738,0.05383,0.22504,0.80842,23.45,0.31103,0.09763,0.28079,0.0265,39.8
task_env_weather_133752,phase,instruct-pix2pix,transform the setting to a rainy day,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11842,0.95911,31.873,0.57769,0.04661,0.17178,0.9003,27.203,0.38558,0.05671,0.29207,0.02549,39.7
task_env_weather_181583,phase,instruct-pix2pix,change the setting to a stormy day,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.15066,0.94768,32.067,0.53982,0.05648,0.18809,0.86414,24.922,0.46238,0.11296,0.20793,0.02493,39.8
task_env_weather_246440,phase,instruct-pix2pix,transform the setting to autumn with falling leaves,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.15659,0.94755,24.37,0.50051,0.04554,0.30118,0.66453,18.473,0.22447,0.12277,0.80405,0.06047,39.7
task_env_weather_63722,phase,instruct-pix2pix,change the setting to a snowy landscape,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.11124,0.97528,29.384,0.56879,0.04691,0.15235,0.89824,23.478,0.36266,0.07433,0.43615,0.03395,39.8
task_obj_add_13726,phase,instruct-pix2pix,Add subscribe button,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.14522,0.95912,29.193,0.53351,0.05139,0.24966,0.78791,21.979,0.23026,0.10117,0.32056,0.0347,39.8
task_obj_add_340466,phase,instruct-pix2pix,Add orange juice,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.07998,0.97805,32.478,0.66297,0.05591,0.17344,0.87084,18.17,0.48285,0.11754,0.29381,0.02377,39.8
task_obj_add_40931,phase,instruct-pix2pix,Add the blood on snout,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.23813,0.95401,29.807,0.55697,0.05486,0.25269,0.77849,21.262,0.34341,0.1268,0.28064,0.03233,39.8
task_obj_add_581286,phase,instruct-pix2pix,Add sauce,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.09973,0.96263,35.079,0.63837,0.07186,0.13177,0.91151,29.835,0.55447,0.07697,0.26204,0.01762,39.8
task_obj_add_692065,phase,instruct-pix2pix,Add monk,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.08789,0.9735,29.993,0.6793,0.03489,0.13106,0.90671,24.161,0.50321,0.04636,0.36418,0.03165,39.9
task_obj_remove_10197,phase,instruct-pix2pix,Remove gravel path,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.20471,0.9564,27.95,0.58584,0.03917,0.41251,0.47726,14.118,0.08771,0.24426,0.42178,0.04004,39.6
task_obj_remove_257910,phase,instruct-pix2pix,Remove bracelet,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.17076,0.96873,34.727,0.65253,0.06799,0.20405,0.90564,28.426,0.42748,0.08459,0.24269,0.01835,39.8
task_obj_remove_380621,phase,instruct-pix2pix,Remove iceberg,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.1739,0.96581,31.552,0.62321,0.06526,0.23705,0.8079,21.932,0.36883,0.10487,0.41941,0.02645,39.7
task_obj_remove_509477,phase,instruct-pix2pix,Remove the man with glasses,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.15928,0.93964,27.54,0.51137,0.04671,0.19871,0.81921,22.467,0.33713,0.06579,0.38194,0.04197,39.7
task_obj_remove_657585,phase,instruct-pix2pix,Remove frisbee,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.09361,0.97479,37.183,0.72926,0.05515,0.2772,0.82393,20.999,0.60309,0.17804,0.1748,0.01383,39.8
task_obj_swap_joint_mask_276754,phase,instruct-pix2pix,Replace the satellite dish with rocket,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.34475,0.93556,29.53,0.421,0.07361,0.18517,0.8032,21.318,0.27541,0.19345,0.27797,0.03338,39.7
task_obj_swap_joint_mask_533428,phase,instruct-pix2pix,Replace the samurai armor with red jacket,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.15425,0.95195,28.393,0.52724,0.04411,0.276,0.72629,17.568,0.28087,0.14697,0.47018,0.03805,39.8
task_obj_swap_joint_mask_75733,phase,instruct-pix2pix,Replace the snowy landscape with sea,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.23956,0.93736,32.243,0.48628,0.10854,0.31738,0.78557,19.445,0.2873,0.22042,0.22589,0.02443,39.8
task_obj_swap_rand_mask_298147,phase,instruct-pix2pix,Replace the wizard's robe with red shirt,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.26258,0.94185,29.524,0.5196,0.07428,0.36151,0.69031,20.115,0.23595,0.15544,0.42353,0.0334,39.8
task_obj_swap_rand_mask_417469,phase,instruct-pix2pix,Replace the green flannel shirt with blue shirt,,0.7,False,0.0,0.08,100,7.5,1.5,20260812,False,0.13303,0.96221,31.229,0.58779,0.042,0.16428,0.84401,23.791,0.39918,0.07241,0.38405,0.02745,40.0
