budget,tau_acut,acut_pass_max,acut_block_min,tau_acut_geomean,tau_chroma,chroma_pass_max,chroma_block_min,tau_chroma_geomean,pos_acut,pos_chroma,acut_blur,acut_noise,acut_warp_bilinear,acut_warp_bicubic,acut_chroma,chroma_blur,chroma_noise,chroma_warp_bilinear,chroma_warp_bicubic,chroma_chroma
0.05,0.04,0.0291,0.1492,0.0659,0.8,0.1089,1.5236,0.4073,0.1939,0.7558,0.2358,0.0098,0.1492,0.0291,0.0012,0.0371,0.0843,0.0797,0.1089,1.5236
0.1,0.0598,0.0465,0.1704,0.089,1.2965,0.1825,2.4423,0.6677,0.1939,0.7558,0.3234,0.0226,0.1704,0.0465,0.0024,0.0489,0.1482,0.1608,0.1825,2.4423
0.15,0.0763,0.0624,0.1755,0.1047,1.808,0.2526,3.4146,0.9287,0.1939,0.7558,0.4038,0.0412,0.1755,0.0624,0.0039,0.0598,0.2289,0.2358,0.2526,3.4146
0.2,0.0917,0.0779,0.1803,0.1185,2.393,0.3378,4.5043,1.2335,0.1939,0.7558,0.4888,0.068,0.1803,0.0779,0.006,0.0721,0.3378,0.3097,0.3229,4.5043
0.28,0.146,0.137,0.1904,0.1615,3.6653,0.5921,6.6047,1.9776,0.1939,0.7558,0.6287,0.137,0.1904,0.1071,0.0118,0.0976,0.5921,0.4359,0.4457,6.6047
