image,budget,arm,amount,lpips,acut,chroma
car_00,0.05,blur,0.565578,0.050000131130218506,0.37994346022605896,0.15018479526042938
car_00,0.05,noise,0.015066,0.05000069737434387,0.006277060601860285,0.11987411975860596
car_00,0.05,warp_bilinear,0.486808,0.049999698996543884,0.22704845666885376,0.20366936922073364
car_00,0.05,warp_bicubic,0.602842,0.05000009760260582,0.03139547258615494,0.22480300068855286
car_00,0.05,chroma,0.434395,0.04999943822622299,0.004713563714176416,2.861504554748535
car_00,0.1,blur,0.68823,0.10000000894069672,0.5012441277503967,0.19859032332897186
car_00,0.1,noise,0.02522,0.10000012069940567,0.013137769885361195,0.22979094088077545
car_00,0.1,warp_bilinear,0.891553,0.10000033676624298,0.254091739654541,0.3418957591056824
car_00,0.1,warp_bicubic,1.002769,0.10000001639127731,0.0400627963244915,0.36110708117485046
car_00,0.1,chroma,0.697523,0.10000079870223999,0.008905655704438686,4.490622520446777
car_00,0.15,blur,0.819769,0.15000100433826447,0.5932401418685913,0.24108156561851501
car_00,0.15,noise,0.036341,0.15000036358833313,0.02398725412786007,0.3846132755279541
car_00,0.15,warp_bilinear,1.311261,0.149999737739563,0.2561197578907013,0.4819592833518982
car_00,0.15,warp_bicubic,1.395165,0.14999887347221375,0.047980897128582,0.49939703941345215
car_00,0.15,chroma,0.972286,0.14999935030937195,0.014166787266731262,6.094137191772461
car_00,0.2,blur,0.967746,0.2000007927417755,0.6710580587387085,0.2843637466430664
car_00,0.2,noise,0.04924,0.19999943673610687,0.04112132638692856,0.612190306186676
car_00,0.2,warp_bilinear,1.750385,0.20000122487545013,0.2602037489414215,0.6292537450790405
car_00,0.2,warp_bicubic,1.816564,0.20000025629997253,0.05728144571185112,0.6461088061332703
car_00,0.2,chroma,1.292954,0.1999998390674591,0.021335404366254807,7.820995807647705
car_00,0.28,blur,1.252022,0.27999794483184814,0.7715959548950195,0.3589557409286499
car_00,0.28,noise,0.073464,0.2800006866455078,0.08571228384971619,1.1641348600387573
car_00,0.28,warp_bilinear,2.548268,0.2799994647502899,0.2675940990447998,0.894712507724762
car_00,0.28,warp_bicubic,2.605669,0.28000056743621826,0.07505697757005692,0.9138782024383545
car_00,0.28,chroma,1.978906,0.28000009059906006,0.038937147706747055,11.009455680847168
dog_00,0.05,blur,0.491325,0.049999382346868515,0.15205927193164825,0.004568187054246664
dog_00,0.05,noise,0.011613,0.05000057816505432,0.01729106716811657,0.08447255194187164
dog_00,0.05,warp_bilinear,0.344386,0.050000209361314774,0.10208168625831604,0.024906300008296967
dog_00,0.05,warp_bicubic,0.547759,0.04999973624944687,0.020503943786025047,0.04075668007135391
dog_00,0.05,chroma,0.565011,0.050000470131635666,0.0014199051074683666,1.2004811763763428
dog_00,0.1,blur,0.561449,0.10000143200159073,0.2105904072523117,0.006514885928481817
dog_00,0.1,noise,0.018207,0.09999924153089523,0.04164348542690277,0.1386318802833557
dog_00,0.1,warp_bilinear,0.68255,0.09999941289424896,0.129816934466362,0.049143776297569275
dog_00,0.1,warp_bicubic,0.962438,0.10000070184469223,0.03405119851231575,0.06916052103042603
dog_00,0.1,chroma,0.927938,0.09999988973140717,0.0026635308749973774,1.9498915672302246
dog_00,0.15,blur,0.639515,0.1499989926815033,0.2635384202003479,0.008435400202870369
dog_00,0.15,noise,0.024484,0.15000271797180176,0.07490610331296921,0.1965550035238266
dog_00,0.15,warp_bilinear,1.127016,0.14999964833259583,0.1342838704586029,0.08099326491355896
dog_00,0.15,warp_bicubic,1.35168,0.14999966323375702,0.0457945391535759,0.09690578281879425
dog_00,0.15,chroma,1.345246,0.15000060200691223,0.0042862962000072,2.789673328399658
dog_00,0.2,blur,0.757876,0.19999954104423523,0.33006635308265686,0.011174449697136879
dog_00,0.2,noise,0.031122,0.19999945163726807,0.1209358498454094,0.2663688063621521
dog_00,0.2,warp_bilinear,1.570067,0.19999931752681732,0.1340780258178711,0.11192299425601959
dog_00,0.2,warp_bicubic,1.738676,0.20000040531158447,0.058511894196271896,0.1241135448217392
dog_00,0.2,chroma,1.849349,0.1999998539686203,0.006560289300978184,3.764950752258301
dog_00,0.28,blur,1.128228,0.27999910712242126,0.4945279359817505,0.02040668949484825
dog_00,0.28,noise,0.043445,0.27999958395957947,0.2351718544960022,0.4213831126689911
dog_00,0.28,warp_bilinear,2.274587,0.2799994945526123,0.13627713918685913,0.16178691387176514
dog_00,0.28,warp_bicubic,2.40355,0.28000134229660034,0.07887150347232819,0.1710648089647293
dog_00,0.28,chroma,2.920036,0.27999937534332275,0.013626139611005783,5.679971218109131
person_00,0.05,blur,0.534254,0.05000035837292671,0.13860701024532318,0.007502903696149588
person_00,0.05,noise,0.008102,0.04999980330467224,0.01223544031381607,0.05946251377463341
person_00,0.05,warp_bilinear,0.611512,0.05000099539756775,0.09665346890687943,0.09408633410930634
person_00,0.05,warp_bicubic,0.974646,0.04999968037009239,0.04462265968322754,0.150681272149086
person_00,0.05,chroma,0.29383,0.04999862238764763,0.00036974382237531245,1.3101400136947632
person_00,0.1,blur,0.675348,0.10000042617321014,0.21273420751094818,0.011765953153371811
person_00,0.1,noise,0.012234,0.10000035166740417,0.027256907895207405,0.09424605220556259
person_00,0.1,warp_bilinear,1.44384,0.10000081360340118,0.1070665493607521,0.2208987921476364
person_00,0.1,warp_bicubic,1.669444,0.10000000894069672,0.07551035284996033,0.25519320368766785
person_00,0.1,chroma,0.477655,0.09999960660934448,0.0008706875378265977,2.101008653640747
person_00,0.15,blur,0.896388,0.15000078082084656,0.30593061447143555,0.018235232681035995
person_00,0.15,noise,0.016297,0.14999958872795105,0.0481584295630455,0.13279204070568085
person_00,0.15,warp_bilinear,2.115971,0.14999964833259583,0.11954006552696228,0.3214356303215027
person_00,0.15,warp_bicubic,2.275687,0.14999830722808838,0.10137045383453369,0.3461339473724365
person_00,0.15,chroma,0.670096,0.14999981224536896,0.0017507969168946147,2.9010307788848877
person_00,0.2,blur,1.207255,0.19999933242797852,0.41489678621292114,0.02888568863272667
person_00,0.2,noise,0.020847,0.19999870657920837,0.07855476438999176,0.18167632818222046
person_00,0.2,warp_bilinear,2.748522,0.20000140368938446,0.13457928597927094,0.41573768854141235
person_00,0.2,warp_bicubic,2.866592,0.19999971985816956,0.12406156212091446,0.4337087869644165
person_00,0.2,chroma,0.888725,0.19999957084655762,0.0030538425780832767,3.779432773590088
person_00,0.28,blur,1.875255,0.2799997329711914,0.5764532089233398,0.05879494920372963
person_00,0.28,noise,0.030061,0.2799985408782959,0.16164594888687134,0.30199843645095825
person_00,0.28,warp_bilinear,3.791637,0.28000152111053467,0.1649637073278427,0.5703990459442139
person_00,0.28,warp_bicubic,3.839712,0.2799991965293884,0.1648990660905838,0.5784876942634583
person_00,0.28,chroma,1.332307,0.279999315738678,0.006625846493989229,5.479748725891113
