image,block,theta,loss,r_lo,r_hi,grad_energy,grad_energy_frac,dists_cost,latent_move,move_per_dists,active_fraction
task_attr_mod_color_11699,32,1.0,latent_norm,0.0,0.1768,7.65279818,0.061065,0.267695,68.542,256.045,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,0.1768,0.3536,40.35790634,0.322033,0.035178,29.1912,829.813,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,0.3536,0.5303,24.04710007,0.191882,0.013929,22.2241,1595.522,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,0.5303,0.7071,19.99300385,0.159533,0.002937,16.4594,5604.245,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,0.7071,0.8839,19.47974014,0.155437,0.000271,12.3083,45354.665,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,0.8839,1.0607,12.5849905,0.100421,3.9e-05,7.9136,204890.148,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,1.0607,1.2374,1.14648151,0.009148,2e-06,1.7633,1137840.769,0.6068
task_attr_mod_color_11699,32,1.0,latent_norm,1.2374,1.4142,0.06025225,0.000481,0.0,0.2017,1128033.167,0.6068
task_attr_mod_color_136767,32,1.0,latent_norm,0.0,0.1768,22.72638512,0.072281,0.220989,62.1628,281.294,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,0.1768,0.3536,157.28710938,0.500253,0.070903,38.4696,542.57,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,0.3536,0.5303,86.06585693,0.273733,0.032157,28.6805,891.883,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,0.5303,0.7071,23.51843071,0.074801,0.005838,21.2812,3645.459,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,0.7071,0.8839,13.89844322,0.044204,0.001126,17.2171,15296.246,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,0.8839,1.0607,10.05021191,0.031965,8.2e-05,8.9749,109032.909,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,1.0607,1.2374,0.81920207,0.002605,2e-06,2.6444,1386415.75,0.6681
task_attr_mod_color_136767,32,1.0,latent_norm,1.2374,1.4142,0.04962064,0.000158,0.0,0.2088,700711.45,0.6681
task_attr_mod_color_184837,32,1.0,latent_norm,0.0,0.1768,1.86161232,0.070175,0.199978,59.7862,298.964,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,0.1768,0.3536,8.31938744,0.313606,0.088464,39.7069,448.848,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,0.3536,0.5303,6.1177578,0.230614,0.038386,30.325,789.996,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,0.5303,0.7071,4.23330736,0.159578,0.004186,24.1542,5770.011,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,0.7071,0.8839,3.46449518,0.130597,0.000851,18.556,21797.886,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,0.8839,1.0607,2.23856711,0.084385,0.00012,9.7446,81215.921,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,1.0607,1.2374,0.2770803,0.010445,3e-06,1.9372,650018.12,0.744
task_attr_mod_color_184837,32,1.0,latent_norm,1.2374,1.4142,0.0159296,0.0006,0.0,0.4102,1720467.25,0.744
task_attr_mod_color_32648,32,1.0,latent_norm,0.0,0.1768,72.86114502,0.068481,0.235249,50.5056,214.689,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,0.1768,0.3536,504.47766113,0.474151,0.020947,25.1177,1199.11,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,0.3536,0.5303,228.5904541,0.214849,0.008748,17.2445,1971.309,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,0.5303,0.7071,131.31265259,0.123419,0.001907,13.6463,7155.947,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,0.7071,0.8839,84.36552429,0.079294,0.000478,9.9282,20753.491,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,0.8839,1.0607,39.61927032,0.037238,5.2e-05,6.4477,122925.073,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,1.0607,1.2374,2.60567188,0.002449,2e-06,1.8259,1056299.931,0.7598
task_attr_mod_color_32648,32,1.0,latent_norm,1.2374,1.4142,0.12789086,0.00012,0.0,0.1528,640892.75,0.7598
task_attr_mod_color_6205,32,1.0,latent_norm,0.0,0.1768,10.43525314,0.059434,0.234203,67.3873,287.73,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,0.1768,0.3536,49.32343292,0.28092,0.061227,33.5675,548.249,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,0.3536,0.5303,35.30057526,0.201053,0.022352,23.1724,1036.718,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,0.5303,0.7071,34.45240021,0.196223,0.003043,18.5539,6097.839,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,0.7071,0.8839,26.57054901,0.151332,0.00029,12.7401,43880.777,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,0.8839,1.0607,18.13362885,0.10328,1.8e-05,6.7713,368845.117,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,1.0607,1.2374,1.28427458,0.007315,1e-06,0.9744,908175.5,0.5925
task_attr_mod_color_6205,32,1.0,latent_norm,1.2374,1.4142,0.07800554,0.000444,0.0,0.0592,248480.172,0.5925
task_env_weather_112463,32,1.0,latent_norm,0.0,0.1768,3.56096172,0.051219,0.245085,80.8234,329.776,0.7514
task_env_weather_112463,32,1.0,latent_norm,0.1768,0.3536,18.93135262,0.272297,0.027835,32.8817,1181.328,0.7514
task_env_weather_112463,32,1.0,latent_norm,0.3536,0.5303,15.97243118,0.229738,0.005888,18.0889,3072.024,0.7514
task_env_weather_112463,32,1.0,latent_norm,0.5303,0.7071,14.54717922,0.209238,0.000436,10.8052,24772.06,0.7514
task_env_weather_112463,32,1.0,latent_norm,0.7071,0.8839,10.15897369,0.146121,5e-05,6.7283,134543.809,0.7514
task_env_weather_112463,32,1.0,latent_norm,0.8839,1.0607,5.63063717,0.080988,5e-06,2.6075,568130.026,0.7514
task_env_weather_112463,32,1.0,latent_norm,1.0607,1.2374,0.68346584,0.009831,0.0,0.5549,1163790.125,0.7514
task_env_weather_112463,32,1.0,latent_norm,1.2374,1.4142,0.03953764,0.000569,0.0,0.0692,386756.292,0.7514
