image,site,rank,prompt,steps,k_inv,n_edit,n_eot,seconds,purify_mode,align_steps,align_seconds,align_lpips,align_psnr,peak_mb,residual_gain,eff_rank_mean,energy_rank_99_mean,energy_rank_90_mean,raw_eff_rank_mean,raw_energy_rank_99_mean,clamped_fraction,final_loss,final_L_def,final_L_fid,final_shift,final_psnr,final_linf,final_psnr_total,final_linf_total,final_ssim,final_lpips,purify,strength,noise_split,proxy_gap,edit_psnr,edit_linf,edit_ssim,edit_lpips,edit_dists,edit_acutance_ratio,edit_niqe_a,edit_niqe_b,edit_clip_a,edit_siglip_a,edit_clip_b,edit_siglip_b,defimg_psnr,defimg_linf,defimg_ssim,defimg_lpips,defimg_dists,defimg_acutance_ratio,ctrl_lpips,ctrl_psnr,net_lpips
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,identity,0.0,train,0.0,15.581954956054688,1.0,0.5354041457176208,0.4775373935699463,0.17615169286727905,2.141697883605957,4.215788341561983,4.909349117012461,0.2232273519039154,0.05863351374864578,0.22186408936977386,0.057523924857378006,32.5374641418457,0.31775784492492676,0.9685153961181641,0.04801478236913681,0.03406059741973877,1.0069999694824219,0.0,80.0,0.4775373935699463
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,blur,0.0,heldout,0.0,21.416528701782227,0.8559664487838745,0.8305767774581909,0.1877186894416809,0.08698999881744385,1.4974422454833984,3.607388867230174,4.2657854337061005,0.21795710921287537,0.04843774065375328,0.22255848348140717,0.057596709579229355,32.5374641418457,0.31775784492492676,0.9685153961181641,0.04801478236913681,0.03406059741973877,1.0069999694824219,0.0,80.0,0.1877186894416809
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,blur,0.5,heldout,0.0,23.007707595825195,0.8309199810028076,0.8547383546829224,0.17338261008262634,0.08067828416824341,1.0085577964782715,3.607388867230174,3.3645032512391047,0.21795710921287537,0.04843774065375328,0.22523914277553558,0.04646763950586319,29.58907699584961,0.34150928258895874,0.9654390811920166,0.06979455798864365,0.03578007221221924,0.7148863673210144,0.07280343770980835,27.877161026000977,0.100579172372818
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,blur,1.0,heldout,0.0,22.301111221313477,0.7770801186561584,0.7935599684715271,0.32481348514556885,0.1301131248474121,0.44507157802581787,3.607388867230174,3.8364267087909405,0.21795710921287537,0.04843774065375328,0.2162545621395111,0.02380913496017456,23.017196655273438,0.6380849480628967,0.8998624682426453,0.23574036359786987,0.09776866436004639,0.3157689869403839,0.3081440329551697,22.882883071899414,0.01666945219039917
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,blur,1.5,heldout,0.0,21.330650329589844,0.7553586959838867,0.7244099974632263,0.45289182662963867,0.192673921585083,0.25177475810050964,3.607388867230174,6.278282237123093,0.21795710921287537,0.04843774065375328,0.2225242257118225,0.04047510400414467,21.18026351928711,0.7651399374008179,0.8118247985839844,0.351284921169281,0.17152023315429688,0.1739981770515442,0.4379340708255768,21.619068145751953,0.01495775580406189
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,blur,2.0,heldout,0.0,20.77285385131836,0.7312211990356445,0.6660555601119995,0.521001935005188,0.23193657398223877,0.16049033403396606,3.607388867230174,7.658664287570286,0.21795710921287537,0.04843774065375328,0.21417254209518433,0.02938956767320633,20.220195770263672,0.8221129775047302,0.7305172681808472,0.4328370988368988,0.20997023582458496,0.1108124628663063,0.5099867582321167,20.968475341796875,0.011015176773071289
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,blur,3.0,heldout,0.0,19.881351470947266,0.763788104057312,0.5698100328445435,0.5979941487312317,0.28705334663391113,0.08409323543310165,3.607388867230174,9.185789814931926,0.21795710921287537,0.04843774065375328,0.20990002155303955,0.014794919639825821,19.09902572631836,0.8741208910942078,0.602181077003479,0.5385235548019409,0.26193058490753174,0.0576731413602829,0.5855351686477661,20.02093505859375,0.012458980083465576
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,jpeg,95,heldout,0.0,21.49747657775879,0.872431218624115,0.8334147334098816,0.18224725127220154,0.08559238910675049,1.4724467992782593,3.607388867230174,4.084791126475933,0.21795710921287537,0.04843774065375328,0.2268938273191452,0.06258945912122726,31.914091110229492,0.33725491166114807,0.9702939391136169,0.06311675906181335,0.039255380630493164,1.0037615299224854,0.04655233025550842,29.74864959716797,0.13569492101669312
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,jpeg,85,heldout,0.0,21.174468994140625,0.8711913824081421,0.8239598274230957,0.19787971675395966,0.0949256420135498,1.39090096950531,3.607388867230174,4.0216589866811185,0.21795710921287537,0.04843774065375328,0.23110684752464294,0.06710200756788254,30.099349975585938,0.40784314274787903,0.9638814330101013,0.09570014476776123,0.04203641414642334,1.004834532737732,0.08944735676050186,26.51421546936035,0.1084323599934578
car_00,P,16,a wrecked car after an accident,100,10,10,1,389.8,rotate,0,0.0,,,10145.5,1.57,405.0,29.666666666666668,12.666666666666666,16.0,16.0,0.023222606629133224,0.07047738879919052,0.02246260643005371,0.04801478236913681,0.4775373935699463,32.537540435791016,0.31775784492492676,32.537540435791016,0.31775784492492676,0.9685153961181641,0.04801478236913681,jpeg,75,heldout,0.0,20.77759552001953,0.8802083134651184,0.804843544960022,0.21228882670402527,0.09620451927185059,1.425069808959961,3.607388867230174,3.882311886672967,0.21795710921287537,0.04843774065375328,0.22178548574447632,0.05870587006211281,28.604095458984375,0.4862745404243469,0.9566305875778198,0.12747451663017273,0.04909956455230713,1.0039594173431396,0.1362108737230301,24.49603843688965,0.07607795298099518
