model,eval_quality,n,shard,shards,tau,mu,q_embed,target,acc_clean_jpeg,acc_adv_jpeg,succ_rate,paper_acc_adv,paper_acc_watermarked,psnr_vs_orig,ssim_vs_orig,lpips_vs_orig,seconds_per_image
resnet101,75,25,6,8,1500,1,0.75,least_likely,96.0,84.0,12.0,3.9,71.7,28.145,0.8069,0.2797,7.65
resnet101,85,25,6,8,1500,1,0.75,least_likely,92.0,88.0,4.0,3.9,71.7,28.145,0.8069,0.2797,7.65
