image,condition,reward_mode,fidelity_mode,update_rule,dists_lambda,stage1_seconds,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop
butterfly,A_targeted_DDIM,targeted,ball,sign,,0.0,191.4,0.2409,0.6598,0.1976,16.5581,0.9584,5.3426,0.5786,0.5249,0.31,0.2977,0.0123,0.12,0.1128,0.0073
butterfly,A_targeted_BDIA,targeted,ball,sign,,0.0,190.2,0.2573,0.6988,0.168,19.0013,0.9543,5.2512,0.6219,0.4238,0.31,0.2983,0.0117,0.12,0.1156,0.0044
butterfly,B_classifier_DDIM,classifier,ball,sign,,0.0,182.3,0.3186,0.7096,0.1423,20.539,0.9753,5.4869,0.5069,0.3888,0.31,0.2956,0.0144,0.12,0.0749,0.0452
butterfly,B_classifier_BDIA,classifier,ball,sign,,0.0,191.1,0.3865,0.6509,0.1983,20.4673,0.9285,4.5896,0.6077,0.2883,0.31,0.2978,0.0122,0.12,0.1241,-0.0041
butterfly,M2_soft_sign_BDIA_lam0.5,attn,soft,sign,0.5,0.0,178.4,0.2691,0.7789,0.0526,22.1432,0.9777,4.85,0.5458,0.3084,0.31,0.3146,-0.0046,0.12,0.1176,0.0024
butterfly,M2_soft_sign_BDIA_lam2,attn,soft,sign,2.0,0.0,188.7,0.2963,0.7516,0.046,21.7391,0.9709,4.7139,0.5469,0.3113,0.31,0.31,0.0,0.12,0.1181,0.0019
butterfly,M2_soft_sign_BDIA_lam8,attn,soft,sign,8.0,0.0,182.1,0.3269,0.7127,0.0478,21.1877,0.9617,4.8003,0.5661,0.3116,0.31,0.308,0.002,0.12,0.1043,0.0157
butterfly,M2_soft_sign_BDIA_lam32,attn,soft,sign,32.0,0.0,180.8,0.3481,0.686,0.0543,20.8051,0.9618,4.6099,0.5171,0.3721,0.31,0.3051,0.0049,0.12,0.1141,0.006
butterfly,M2_soft_sign_BDIA_lam128,attn,soft,sign,128.0,0.0,182.4,0.3499,0.6887,0.0517,20.8948,0.9565,4.6458,0.4812,0.2846,0.31,0.2944,0.0156,0.12,0.086,0.0341
butterfly,M2_soft_sign_DDIM_lam0.5,attn,soft,sign,0.5,0.0,177.4,0.232,0.8041,0.0642,22.5454,0.9742,5.1211,0.5734,0.301,0.31,0.3058,0.0042,0.12,0.0967,0.0234
butterfly,M2_soft_sign_DDIM_lam2,attn,soft,sign,2.0,0.0,178.2,0.2419,0.7917,0.0497,22.1174,0.9835,5.0536,0.5764,0.3612,0.31,0.305,0.005,0.12,0.1087,0.0113
butterfly,M2_soft_sign_DDIM_lam8,attn,soft,sign,8.0,0.0,181.2,0.2755,0.7522,0.0492,21.1199,0.9813,5.1217,0.5493,0.2986,0.31,0.3061,0.004,0.12,0.1104,0.0097
butterfly,M2_soft_sign_DDIM_lam32,attn,soft,sign,32.0,0.0,180.6,0.296,0.7234,0.0545,20.4015,0.9832,5.2294,0.4841,0.402,0.31,0.3163,-0.0063,0.12,0.1142,0.0058
butterfly,M2_soft_sign_DDIM_lam128,attn,soft,sign,128.0,0.0,180.6,0.3062,0.7101,0.0521,20.2853,0.9872,5.1973,0.4793,0.4375,0.31,0.3007,0.0093,0.12,0.1105,0.0095
butterfly,M3_soft_adam_BDIA_lam0.5,attn,soft,adam,0.5,0.0,173.8,0.2281,0.8091,0.0398,22.8811,0.9858,5.1696,0.5661,0.2941,0.31,0.3133,-0.0033,0.12,0.1126,0.0075
butterfly,M3_soft_adam_BDIA_lam2,attn,soft,adam,2.0,0.0,177.4,0.232,0.803,0.0326,22.8893,0.9836,5.1154,0.6213,0.2824,0.31,0.315,-0.005,0.12,0.1134,0.0066
butterfly,M3_soft_adam_BDIA_lam8,attn,soft,adam,8.0,0.0,187.3,0.2427,0.7982,0.0258,22.8917,0.987,5.0787,0.5317,0.3109,0.31,0.3131,-0.0031,0.12,0.1076,0.0125
butterfly,M3_soft_adam_BDIA_lam32,attn,soft,adam,32.0,0.0,201.7,0.2478,0.7931,0.0276,22.7601,0.983,5.0577,0.5537,0.267,0.31,0.3142,-0.0042,0.12,0.1113,0.0088
butterfly,M3_soft_adam_BDIA_lam128,attn,soft,adam,128.0,0.0,188.8,0.2559,0.7873,0.0255,22.6679,0.98,4.9339,0.5845,0.2946,0.31,0.3133,-0.0033,0.12,0.0898,0.0303
