cell,target_lpips,scale,lpips,acut,chroma,rms,linf,frac_gt_16_255,psnr,acut_over_tau,chroma_over_tau
e29c_P_tau0.10,0.1,1.1514,0.09996749460697174,0.023218179121613503,0.7693608999252319,0.036539651453495026,0.42895492911338806,0.09217707812786102,28.744680404663086,False,False
e29c_P_tau0.10,0.15,1.6907,0.15001559257507324,0.04404238611459732,1.2525516748428345,0.0528918094933033,0.629867434501648,0.19491958618164062,25.532217025756836,True,True
e29c_P_tau0.10,0.2,2.2396,0.19996587932109833,0.07175564765930176,1.8096058368682861,0.06909462809562683,0.83436119556427,0.28142040967941284,23.211105346679688,True,True
e29c_P_tau0.10,0.28,3.1403,0.27996626496315,0.13024480640888214,2.82751727104187,0.09474211931228638,0.9333333373069763,0.4013417661190033,20.469133377075195,True,True
e29c_C_tau0.10,0.1,2.0656,0.09999985992908478,0.013892238028347492,2.1488327980041504,0.062100231647491455,0.7938404083251953,0.1455485075712204,24.138126373291016,False,True
e29c_C_tau0.10,0.15,3.0038,0.1499772071838379,0.021454092115163803,3.1650209426879883,0.08309067040681839,0.8599220514297485,0.19761022925376892,21.60894775390625,False,True
e29c_C_tau0.10,0.2,4.1055,0.19999201595783234,0.029985511675477028,4.300252914428711,0.10389576107263565,0.9960784316062927,0.2855720520019531,19.668039321899414,False,True
e29c_C_tau0.10,0.28,6.3511,0.2799968719482422,0.04707470163702965,6.269516944885254,0.13776646554470062,1.0,0.3588714599609375,17.217126846313477,True,True
e29c_P_tau0.10__isonoise,0.1,0.0249,0.09835334122180939,0.012135729193687439,0.21426302194595337,0.02455572970211506,0.11618854105472565,0.010875701904296875,32.196868896484375,False,False
e29c_P_tau0.10__isonoise,0.15,0.0366,0.15128615498542786,0.023837734013795853,0.37013179063796997,0.035886216908693314,0.1708654910326004,0.08098602294921875,28.901412963867188,False,False
e29c_P_tau0.10__isonoise,0.2,0.0493,0.2005971223115921,0.04136399179697037,0.5867352485656738,0.04798503592610359,0.2300988882780075,0.18996429443359375,26.377864837646484,True,False
e29c_P_tau0.10__isonoise,0.28,0.0737,0.28031790256500244,0.08748528361320496,1.128360629081726,0.07074926048517227,0.3440092206001282,0.3693809509277344,23.00555419921875,True,True
