image,condition,prompt_index,prompt,block,r_min,quantile,target_image,budget_target,budget_mode,budget_reached,unreachable,radius,total_seconds,fid_lpips,fid_ssim,fid_dists,fid_psnr,fid_clip_img,fid_nima,fid_cnniqa,edit_lpips,edit_clip_orig,edit_clip_def,edit_clip_drop,edit_siglip_orig,edit_siglip_def,edit_siglip_drop,amp_dev,active_fraction
bird_00,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.02588,False,1.3,52.4,0.1395,0.9761,0.0259,33.3519,0.9962,5.4124,0.7219,0.5673,0.2715,0.276,-0.0044,0.106,0.0908,0.0152,0.01147,0.3902
bird_01,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.04537,False,1.3,25.7,0.2464,0.9526,0.0454,30.7602,0.9957,5.0363,0.723,0.5452,0.2765,0.3046,-0.0281,0.1118,0.1116,0.0003,0.01612,0.5692
bird_02,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.02319,False,1.3,25.9,0.3486,0.9662,0.0232,34.6257,0.9975,4.4216,0.6177,0.565,0.2817,0.2907,-0.009,0.109,0.1045,0.0046,0.01245,0.6916
bird_03,phase,0,a butterfly,32,0.12,0.5,data/targets/gray.png,human,human,0.01507,False,1.3,26.2,0.1632,0.9727,0.0151,35.7726,0.9989,5.5523,0.7226,0.549,0.2725,0.2931,-0.0206,0.1038,0.0975,0.0064,0.0087,0.4617
cat_00,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.02451,False,1.3,26.1,0.2188,0.9395,0.0245,24.5002,0.9955,4.9435,0.7336,0.5578,0.2452,0.2598,-0.0147,0.0621,0.0806,-0.0185,0.03231,0.5538
cat_01,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.02114,False,1.3,26.3,0.1254,0.9775,0.0211,34.7222,0.9985,5.3748,0.7081,0.3956,0.2601,0.2626,-0.0024,0.0917,0.0905,0.0011,0.0096,0.4877
cat_02,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.0249,False,1.3,26.1,0.2755,0.9655,0.0249,32.8968,0.9975,4.6137,0.6678,0.4972,0.2521,0.2491,0.0029,0.0912,0.0928,-0.0016,0.01353,0.5549
cat_03,phase,0,a dog,32,0.12,0.5,data/targets/gray.png,human,human,0.03505,False,1.3,26.2,0.2633,0.9256,0.0351,24.5241,0.9962,5.0892,0.6883,0.5512,0.2622,0.2845,-0.0223,0.0853,0.083,0.0023,0.03953,0.6238
dog_00,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.02126,False,1.3,26.3,0.2413,0.9628,0.0213,33.4386,0.9983,4.7541,0.6928,0.5038,0.2675,0.2829,-0.0154,0.0695,0.0918,-0.0222,0.01267,0.5002
dog_01,phase,0,a cat,32,0.12,0.5,data/targets/gray.png,human,human,0.01845,False,1.3,26.3,0.1618,0.9762,0.0184,35.819,0.9987,5.6142,0.6616,0.2678,0.2742,0.2715,0.0027,0.0908,0.0947,-0.0039,0.01114,0.4066
