image,condition,attacker,instruction,task,radius,unreachable,pixel_gate_sigma,r_min,r_max,gl_iters,block,hop,quantile,gate_edge_power,freq_weight,defense_steps,loss,gain_ratio,purify_aware,dct_q_alg,dct_gamma,wm_tau,wm_mu,wm_diagonals,wm_q_embed,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,edit_clip_sim,edit_siglip_sim,blocked,siglip_blocked_threshold,total_seconds
task_attr_mod_color_11699,phase_gain,instruct-pix2pix,turn the color of potted plant to pink,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.31001,0.97485,25.151,0.50828,0.03956,0.28485,0.76322,19.465,0.36256,0.17468,0.96863,0.05526,0.90765,0.89638,False,0.837,405.0
task_attr_mod_color_136767,phase_gain,instruct-pix2pix,turn the color of astronaut to pink,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.36348,0.96123,26.034,0.41006,0.08549,0.35642,0.63946,18.83,0.29493,0.25263,0.87843,0.04992,0.93938,0.91989,False,0.837,397.4
task_attr_mod_color_184837,phase_gain,instruct-pix2pix,turn the color of frame to pink,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38118,0.9392,20.957,0.35409,0.10353,0.4787,0.41032,14.488,0.26791,0.31796,0.9451,0.08957,0.93704,0.79045,True,0.837,395.7
task_attr_mod_color_32648,phase_gain,instruct-pix2pix,turn the color of potion bottle to orange,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.48325,0.98427,31.797,0.33516,0.06161,0.36251,0.68805,15.483,0.78664,0.282,0.95294,0.02571,0.89597,0.92013,False,0.837,392.6
task_attr_mod_color_6205,phase_gain,instruct-pix2pix,turn the color of toolbox to red,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.2926,0.97921,29.223,0.55136,0.06731,0.38878,0.64588,12.235,0.4507,0.23564,0.8902,0.03458,0.92691,0.85553,False,0.837,391.5
task_env_weather_112463,phase_gain,instruct-pix2pix,transform the setting to spring with blooming flowers,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45787,0.9723,29.252,0.49843,0.02639,0.38464,0.60215,18.091,0.29956,0.19153,0.63972,0.03446,0.90833,0.88491,False,0.837,393.0
task_env_weather_246440,phase_gain,instruct-pix2pix,transform the setting to autumn with falling leaves,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45955,0.89503,18.299,0.28116,0.07878,0.50607,0.3953,15.669,0.12265,0.26494,1.0,0.12163,0.92866,0.86136,False,0.837,394.5
task_env_weather_63722,phase_gain,instruct-pix2pix,change the setting to a snowy landscape,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.38527,0.9694,25.296,0.42101,0.05004,0.37532,0.67878,18.227,0.26012,0.21777,0.85663,0.05435,0.9033,0.88255,False,0.837,391.8
task_obj_add_40931,phase_gain,instruct-pix2pix,Add the blood on snout,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.45999,0.95384,25.886,0.43331,0.05436,0.455,0.43115,16.343,0.29003,0.3276,0.93725,0.05078,0.88818,0.79656,True,0.837,393.0
task_obj_remove_380621,phase_gain,instruct-pix2pix,Remove iceberg,,6.0,False,0.0,0.12,inf,0,32,16,0.0,1.0,jpeg_luma,1000,encoder_target,1.0,none,0.95,0.1,1500,1,3-4-5,0.75,100,7.5,1.5,20260812,False,0.41111,0.96269,25.049,0.51754,0.06131,0.59129,0.49988,13.625,0.14569,0.34077,0.99651,0.05592,0.76997,0.69055,True,0.837,395.5
