image,condition,attacker,instruction,task,radius,unreachable,edit_steps,s_t,s_i,edit_seed,modified_from_paper,fid_lpips,fid_ssim,fid_psnr,fid_vif_p,fid_dists,edit_lpips,edit_ssim,edit_psnr,edit_vif_p,edit_dists,fid_linf,fid_rms,total_seconds
task_attr_mod_color_164237,dct_shield,instruct-pix2pix,turn the color of crystal tower to brown,,1.0,False,100,7.5,1.5,20260812,False,0.50112,0.85387,29.465,0.48264,0.07791,0.79721,0.34442,11.414,0.05856,0.54685,0.24129,0.03363,552.3
task_attr_mod_color_47418,dct_shield,instruct-pix2pix,turn the color of mushroom to gray,,1.0,False,100,7.5,1.5,20260812,False,0.45906,0.89408,29.302,0.52586,0.03755,0.62124,0.29607,10.05,0.07837,0.32563,0.25266,0.03427,551.8
task_env_weather_121086,dct_shield,instruct-pix2pix,transform the setting to a foggy scene,,1.0,False,100,7.5,1.5,20260812,False,0.43631,0.93284,29.406,0.56478,0.03262,0.61825,0.41433,14.477,0.29695,0.40717,0.24573,0.03386,554.0
task_env_weather_217577,dct_shield,instruct-pix2pix,change the setting to a foggy scene,,1.0,False,100,7.5,1.5,20260812,False,0.44548,0.88738,29.333,0.52134,0.04244,0.59642,0.55508,12.148,0.1506,0.40754,0.25685,0.03415,551.8
task_env_weather_86691,dct_shield,instruct-pix2pix,transform the setting to spring with blooming flowers,,1.0,False,100,7.5,1.5,20260812,False,0.41528,0.85593,29.337,0.4805,0.0492,0.84867,0.31004,11.809,0.05239,0.36019,0.25995,0.03413,553.5
task_obj_add_371248,dct_shield,instruct-pix2pix,Add the dress,,1.0,False,100,7.5,1.5,20260812,False,0.60005,0.75237,30.306,0.28803,0.14938,0.67317,0.17605,7.128,0.02412,0.47184,0.22146,0.03053,553.4
task_obj_add_630523,dct_shield,instruct-pix2pix,Add small flower,,1.0,False,100,7.5,1.5,20260812,False,0.51975,0.87615,29.41,0.52463,0.0411,0.72986,0.21834,11.037,0.03905,0.41606,0.29001,0.03384,551.8
task_obj_remove_166983,dct_shield,instruct-pix2pix,Remove white buildings,,1.0,False,100,7.5,1.5,20260812,False,0.39091,0.89785,28.752,0.54346,0.02277,0.61087,0.4398,15.658,0.23619,0.35358,0.26298,0.03651,551.4
task_obj_remove_410264,dct_shield,instruct-pix2pix,Remove short hair,,1.0,False,100,7.5,1.5,20260812,False,0.58479,0.79482,30.303,0.3312,0.08476,0.69508,0.42594,10.037,0.04124,0.29366,0.23252,0.03054,553.1
task_obj_remove_737102,dct_shield,instruct-pix2pix,Remove right person,,1.0,False,100,7.5,1.5,20260812,False,0.35276,0.8804,29.207,0.58622,0.04326,0.55427,0.44666,16.063,0.26989,0.32895,0.25764,0.03465,552.0
task_obj_swap_joint_mask_673207,dct_shield,instruct-pix2pix,Replace the lighthouse with chimney,,1.0,False,100,7.5,1.5,20260812,False,0.52775,0.83231,29.754,0.42034,0.09535,0.76681,0.37824,7.604,0.03292,0.32134,0.24718,0.03253,553.4
task_obj_swap_rand_mask_373245,dct_shield,instruct-pix2pix,Replace the twilight glow with sky,,1.0,False,100,7.5,1.5,20260812,False,0.54446,0.74214,30.106,0.20798,0.1251,0.6746,0.51225,8.608,0.09797,0.44614,0.26098,0.03124,551.7
